카테고리,회사명,제품,가격,사용시간,흡입력
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9982,1019160,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9882,894400,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956A3,492190,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AT9271,633330,60.0,210
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3512IG,184270,35.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956D5,605950,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9571,756710,60.0,210
핸디스틱청소기,샤오미,드리미 V11,183710,90.0,250
핸디스틱청소기,삼성전자,제트 VS20T92K3QD,381650,60.0,200
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956AX,525990,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D2,595850,60.0,210
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956AVW,478710,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AS9200BA,520830,60.0,200
핸디스틱청소기,다이슨,V10 앱솔루트,556980,60.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9802WD,805450,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957E5,766110,60.0,220
핸디스틱청소기,아이닉,NEW i20,169000,50.0,300
핸디스틱청소기,LG전자,코드제로 A9S AS9271,592050,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AT9200BA,571000,60.0,200
핸디스틱청소기,다이슨,V12 디텍트 슬림 컴플리트,807700,60.0,150
핸디스틱청소기,삼성전자,제트 VS15R8577Q5CW,378900,60.0,150
핸디스틱청소기,아이닉,i30 아이타워,269000,50.0,350
핸디스틱청소기,삼성전자,제트 VS20T92K0BF,394740,60.0,200
핸디스틱청소기,샤오미,미지아 K10,166230,65.0,150
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9602WD,785570,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872MPD,897380,60.0,220
핸디스틱청소기,다이슨,V10 플러피 오리진,575930,60.0,151
핸디스틱청소기,다이슨,옴니 글라이드 컴플리트,446220,20.0,50
핸디스틱청소기,삼성전자,파워스틱 VS02R6512JG,165710,,
핸디스틱청소기,샤오미,드리미 V10,156860,60.0,220
핸디스틱청소기,다이슨,V11 앱솔루트,663980,60.0,185
핸디스틱청소기,LG전자,코드제로 A9S AT9270,636980,60.0,200
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDB,182860,45.0,
핸디스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3OBF,305290,53.0,
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000 스노우화이트,197490,40.0,400
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956BUE,552360,60.0,220
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91813,299000,60.0,
핸디스틱청소기,다이슨,Gen5 디텍트™ 컴플리트,1225460,70.0,262
핸디스틱청소기,일렉트로룩스,WELL Q8 WQ81-3PSGF,234190,53.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D3,587270,60.0,210
핸디스틱청소기,샤오미,미홀 M22,168290,,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9471WKT,751600,60.0,210
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9572WD,1180800,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E3,599430,60.0,210
핸디스틱청소기,샤오미,드리미 T20,305970,70.0,250
핸디스틱청소기,DIBEA,올인원뉴,179000,50.0,200
핸디스틱청소기,LG전자,코드제로 A9S AT9471,735980,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AT9201IBB,615670,60.0,210
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3411,196570,48.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D4,703870,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9972,1185790,60.0,220
핸디스틱청소기,LG전자,코드제로 A9S AS9201IB,584620,60.0,210
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9272WD,791930,60.0,220
핸디스틱청소기,캐치웰,C10 PRO,299000,60.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872,899230,60.0,220
핸디스틱청소기,DIBEA,D19 Pro,109970,40.0,120
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D5,706200,60.0,220
핸디스틱청소기,일렉트로룩스,Well Q6 Pet WQ61-1PSH,221790,45.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956AVE,518840,60.0,220
핸디스틱청소기,다이슨,V10 플러피,368110,60.0,
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1OGG,199440,45.0,
핸디스틱청소기,아이닉,i20 엘리트,139000,50.0,180
핸디스틱청소기,에어메이드,스마트포스 AMC-3500,199000,45.0,370
핸디스틱청소기,삼성전자,제트 VS20T9213QE,349000,60.0,200
핸디스틱청소기,DIBEA,차이슨 ALLNEW29000,248000,48.0,390
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 AS9202WD,601130,60.0,210
핸디스틱청소기,다이슨,디지털 슬림 컴플리트,583860,40.0,100
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3511DB,195000,35.0,
핸디스틱청소기,신일전자,SVC-R220UB,75800,20.0,130
핸디스틱청소기,삼성전자,비스포크 제트 AI VS28C973ES,1515400,80.0,280
핸디스틱청소기,스타일리스,SSV-G7,46650,23.0,150
핸디스틱청소기,비즈포비즈,클래파 BVC-H10,41900,20.0,60
핸디스틱청소기,보랄,메카닉 BR-SV680RC,87900,40.0,120
핸디스틱청소기,삼성전자,제트 VS15T7037P1,299000,40.0,150
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957E4,730800,60.0,220
핸디스틱청소기,비브르,스톰파워 V31000,195000,,310
핸디스틱청소기,샤오미,드리미 V12,375967,90.0,270
핸디스틱청소기,다이슨,V15 디텍트 컴플리트,1135240,60.0,240
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957F5,800020,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AS9201WB,569990,60.0,210
핸디스틱청소기,보쉬,GAS18V-1,74970,42.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WBK,668900,60.0,210
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91825,482460,60.0,
핸디스틱청소기,DIBEA,M500 클래스,169000,50.0,200
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 AU9202WD,745610,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AT9370BA,736900,60.0,200
핸디스틱청소기,테팔,엑스포스 8.60 라이트 TY9634KO,227190,45.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AS9272WD,695110,60.0,220
핸디스틱청소기,테팔,엑스퍼트 3.60 TY6921,139410,45.0,
핸디스틱청소기,테팔,에어포스360 라이트 이지 TY5520,245100,33.0,
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3515ST,217500,35.0,
핸디스틱청소기,캐치웰,CV6 플러스,79000,40.0,120
핸디스틱청소기,마끼다,DCL180Z,48070,20.0,30
핸디스틱청소기,행커,400W,170100,60.0,390
핸디스틱청소기,삼성전자,에어본 VC-H71,93980,12.0,
핸디스틱청소기,LG전자,코드제로 A9S AS9270IA,595660,60.0,200
핸디스틱청소기,발뮤다,더 클리너 C01B,409380,30.0,
핸디스틱청소기,삼성전자,제트 VS15A6031N5,299990,40.0,150
핸디스틱청소기,신일전자,SVC-599WS,78970,10.0,
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIBF,258990,50.0,
핸디스틱청소기,쿠쿠전자,파워클론 CVC-AE1410,421030,35.0,
핸디스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1420UG,232310,35.0,230
핸디스틱청소기,DIBEA,올인원 UV,169000,50.0,250
핸디스틱청소기,보랄,더 데일리 HNZ-X5000RV,454090,38.0,100
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-2OG,294590,50.0,
핸디스틱청소기,샤오미,SHUNZAO Z11 MAX,179050,60.0,260
핸디스틱청소기,삼성전자,비스포크 제트 AI VS28C973DR,1499990,80.0,280
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9402WD,953950,60.0,220
핸디스틱청소기,샤오미,드리미 V9,134850,60.0,200
핸디스틱청소기,리하스,S3,217600,42.0,300
핸디스틱청소기,블랙앤데커,BSV2020PS,214320,60.0,40
핸디스틱청소기,한빛시스템,HV-5099,74240,,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9672WD,898990,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956E3,616250,60.0,210
핸디스틱청소기,델로라,V11 파워 300W,81890,70.0,220
핸디스틱청소기,한빛시스템,HV-5088,75270,,
핸디스틱청소기,아이룸,AST-009 플러스,109000,40.0,120
핸디스틱청소기,테팔,엑스퍼트 6.60 TY6831,164250,45.0,
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000,198000,40.0,260
핸디스틱청소기,샤크,에보 파워 플러스 WV250KR2,177100,12.0,
핸디스틱청소기,테팔,에어포스 라이트 TY6545KL,125120,30.0,
핸디스틱청소기,LG전자,코드제로 A9 A9100S,636500,40.0,140
핸디스틱청소기,무궁화전자,바로바로 MC-B250,40790,20.0,60
핸디스틱청소기,캐치웰,CX PRO,319000,60.0,
핸디스틱청소기,샤오미,COCLEAN V30,129912,60.0,250
핸디스틱청소기,다이슨,V8 플러피,649350,40.0,155
핸디스틱청소기,쿠쿠전자,CVC-B1020UG,159930,33.0,
핸디스틱청소기,샤오미,드리미 T30,399000,,270
핸디스틱청소기,쿠쿠전자,파워클론 CVC-B1010UG,248310,33.0,
핸디스틱청소기,샤오미,로이드미 X30 프로,278060,70.0,265
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3424BL,235030,48.0,
핸디스틱청소기,삼성전자,비스포크 제트 AI VS25C972DR,1439910,80.0,250
