카테고리,회사명,제품,가격,사용시간,흡입력
차량용청소기,베이스어스,차량용 청소기 A3 (해외구매),47510,45.0,150
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9982,1019160,60.0,220
차량용청소기,샤오미,미지아 차량용 핸디 무선 청소기 (해외구매),38990,,130
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9882,894400,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956A3,492190,60.0,210
차량용청소기,아이오랩,아이클린 무선 미니 핸디 청소기,59200,45.0,100
핸디스틱청소기,LG전자,코드제로 A9S AT9271,633330,60.0,210
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3512IG,184270,35.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956D5,605950,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9571,756710,60.0,210
핸디스틱청소기,샤오미,드리미 V11,183710,90.0,250
차량용청소기,샤오미,CLEANFLY 차량용 무선 청소기 4세대 H2 (해외구매),61840,30.0,168
핸디스틱청소기,삼성전자,제트 VS20T92K3QD,381650,60.0,200
차량용청소기,샤오미,미지아 차량용 핸디 무선 청소기 SSXCQ01XY,52710,,130
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956AX,525990,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D2,595850,60.0,210
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956AVW,478710,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AS9200BA,520830,60.0,200
핸디스틱청소기,다이슨,V10 앱솔루트,556980,60.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9802WD,805450,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957E5,766110,60.0,220
핸디스틱청소기,아이닉,NEW i20,169000,50.0,300
차량용청소기,조아스,차량용 듀얼 무선 에어건 청소기 JVC-3000,74800,,120
핸디스틱청소기,LG전자,코드제로 A9S AS9271,592050,60.0,210
업소용청소기,디월트,DCPW550B,203830,,
차량용청소기,인트비즈,MORUN 차량용 무선 진공 청소기 V6,79000,12.0,150
핸디스틱청소기,LG전자,코드제로 A9S AT9200BA,571000,60.0,200
물걸레청소기,로엘,듀스핀3 PRO,179780,180.0,
핸디스틱청소기,다이슨,V12 디텍트 슬림 컴플리트,807700,60.0,150
핸디스틱청소기,삼성전자,제트 VS15R8577Q5CW,378900,60.0,150
핸디스틱청소기,아이닉,i30 아이타워,269000,50.0,350
핸디스틱청소기,삼성전자,제트 VS20T92K0BF,394740,60.0,200
핸디스틱청소기,샤오미,미지아 K10,166230,65.0,150
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9602WD,785570,60.0,220
차량용청소기,아이닉,무선 미니 청소기 imini,43900,20.0,50
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872MPD,897380,60.0,220
핸디스틱청소기,다이슨,V10 플러피 오리진,575930,60.0,151
핸디스틱청소기,다이슨,옴니 글라이드 컴플리트,446220,20.0,50
물걸레청소기,로엘,듀스핀5 PRO,298890,180.0,
핸디스틱청소기,삼성전자,파워스틱 VS02R6512JG,165710,,
핸디스틱청소기,샤오미,드리미 V10,156860,60.0,220
핸디스틱청소기,다이슨,V11 앱솔루트,663980,60.0,185
차량용청소기,엔뚜마노,무선 에어건 차량용 청소기 EM-AG2030,39900,,
핸디스틱청소기,LG전자,코드제로 A9S AT9270,636980,60.0,200
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDB,182860,45.0,
핸디스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3OBF,305290,53.0,
차량용청소기,오아,클린듀얼 차량용 청소기 OCL-028BK,79000,25.0,
차량용청소기,벤딕트,차량용 핸디 무선 청소기 VDT-031,87000,,
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000 스노우화이트,197490,40.0,400
물걸레청소기,비쎌(BISSELL),크로스웨이브 3.0 PRO 2765Z,183250,,
차량용청소기,리하스,차량용 미니 무선 청소기 TEB-4120,86500,,150
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956BUE,552360,60.0,220
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91813,299000,60.0,
핸디스틱청소기,다이슨,Gen5 디텍트™ 컴플리트,1225460,70.0,262
차량용청소기,샤오미,LYDSTO 차량용 무선 청소기 H2 (해외구매),37750,32.0,160
핸디스틱청소기,일렉트로룩스,WELL Q8 WQ81-3PSGF,234190,53.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D3,587270,60.0,210
차량용청소기,레모토,윈드팡 에어건 무선청소기 AD-KF80,68000,,
핸디스틱청소기,샤오미,미홀 M22,168290,,
물걸레청소기,샤오미,SWDK-D260,59750,50.0,
차량용청소기,픽스,차량용 휴대용 무선 에어건 청소기 XVC-301,39800,15.0,50
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9471WKT,751600,60.0,210
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9572WD,1180800,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E3,599430,60.0,210
차량용청소기,조아스,차량용 에어건 청소기 JVC-2010,39800,20.0,65
핸디스틱청소기,샤오미,드리미 T20,305970,70.0,250
핸디스틱청소기,DIBEA,올인원뉴,179000,50.0,200
핸디스틱청소기,LG전자,코드제로 A9S AT9471,735980,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AT9201IBB,615670,60.0,210
차량용청소기,제이코스,몬스터 멀티 에어건 차량용 청소기 JM-Z5,92900,30.0,120
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3411,196570,48.0,
차량용청소기,AIPINYUE,차량용 가정용 무선 청소기 (해외구매),12760,25.0,60
차량용청소기,조아스,차량용 에어건 청소기 JVC-2000,39800,20.0,55
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D4,703870,60.0,220
차량용청소기,한라홀딩스,만도 차량용 청소기 MC-100,83000,20.0,80
차량용청소기,포콘스,아이나비 스마트 무선 청소기&에어건 EPI-GV4000,79000,,120
욕실청소기,앱코,오엘라 네오스핀 OBC-AW09,44900,50.0,
차량용청소기,머레이,무선 핸디형 청소기 HK-5030,27000,15.0,
차량용청소기,베이스어스,차량용 진공 청소기 A1 (해외구매),29170,25.0,150
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9972,1185790,60.0,220
핸디스틱청소기,LG전자,코드제로 A9S AS9201IB,584620,60.0,210
핸디청소기,신일전자,SVC-680G,42050,15.0,
스틱청소기,삼성전자,비스포크 슬림 VS15A680AEW,308060,50.0,150
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9272WD,791930,60.0,220
핸디스틱청소기,캐치웰,C10 PRO,299000,60.0,
차량용청소기,카렉스,파워스톰 미니 무선청소기,78990,17.0,120
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872,899230,60.0,220
핸디스틱청소기,DIBEA,D19 Pro,109970,40.0,120
핸디청소기,블랙앤데커,HLVC315B,59900,13.0,30
차량용청소기,샤오미,SHUNZAO 차량용 무선청소기 2세대 Z1 PRO (해외구매),52000,30.0,120
핸디청소기,삼성전자,에어본 화이트 VC-H22,31280,10.0,
차량용청소기,오토앤,디테일링 BLDC 핸디형 무선 청소기 WS-BV04,87000,,170
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D5,706200,60.0,220
차량용청소기,머레이,충전식 무선 핸디형 청소기 HK-8030,30980,20.0,60
핸디/스틱청소기+로봇청소기세트,LG전자,오브제컬렉션 코드제로 A9S AU9882MD + MO971GA,2124000,60.0,220
핸디청소기,블랙앤데커,WD7201,32560,8.0,
핸디스틱청소기,일렉트로룩스,Well Q6 Pet WQ61-1PSH,221790,45.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956AVE,518840,60.0,220
핸디스틱청소기,다이슨,V10 플러피,368110,60.0,
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1OGG,199440,45.0,
핸디스틱청소기,아이닉,i20 엘리트,139000,50.0,180
핸디스틱청소기,에어메이드,스마트포스 AMC-3500,199000,45.0,370
핸디청소기,신일전자,SVC-S4800SJ,48350,9.0,60
핸디스틱청소기,삼성전자,제트 VS20T9213QE,349000,60.0,200
물걸레청소기,비쎌(BISSELL),크로스웨이브 X7 2832S,778980,30.0,
핸디스틱청소기,DIBEA,차이슨 ALLNEW29000,248000,48.0,390
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 AS9202WD,601130,60.0,210
핸디스틱청소기,다이슨,디지털 슬림 컴플리트,583860,40.0,100
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3511DB,195000,35.0,
핸디스틱청소기,신일전자,SVC-R220UB,75800,20.0,130
핸디/스틱청소기+로봇청소기세트,LG전자,오브제컬렉션 코드제로 A9S AU9982WD + MO971WA,1701430,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 AI VS28C973ES,1515400,80.0,280
핸디스틱청소기,스타일리스,SSV-G7,46650,23.0,150
차량용청소기,유행코리아,더쎈 유무선 청소기,62240,25.0,48
차량용청소기,웍스,휴대용 차량용 충전 청소기 본체 WX030.9,75990,,100
핸디청소기,한빛시스템,HV-5010,22350,15.0,
핸디스틱청소기,비즈포비즈,클래파 BVC-H10,41900,20.0,60
차량용청소기,라이트컴,COMS 휴대용 미니 청소기 NE875,11420,,
핸디스틱청소기,보랄,메카닉 BR-SV680RC,87900,40.0,120
핸디스틱청소기,삼성전자,제트 VS15T7037P1,299000,40.0,150
차량용청소기,SooPii,차량용 무선 에어건 겸용 청소기 BV01,78890,,150
차량용청소기,지엔앰주식회사,콜튼 차량용 무선 청소기 에어건 3세대 CT30,98000,,
차량용청소기,라이트컴,COMS 4in1 차량용 멀티 청소기,22560,20.0,
업소용청소기,웍스,WG630E.2,208000,35.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957E4,730800,60.0,220
핸디스틱청소기,비브르,스톰파워 V31000,195000,,310
스틱청소기,삼성전자,비스포크 슬림 VS15A680DFW,362480,50.0,150
핸디스틱청소기,샤오미,드리미 V12,375967,90.0,270
핸디청소기,홍진테크,인더스 IN-HV7,30490,20.0,60
차량용청소기,카렉스,파워스톰 에어건 무선 청소기 H3,82620,28.0,150
핸디스틱청소기,다이슨,V15 디텍트 컴플리트,1135240,60.0,240
차량용청소기,지티플러스,크린몬스터 핸디형 무선 진공 청소기,24050,30.0,50
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957F5,800020,60.0,220
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AS9201WB,569990,60.0,210
핸디스틱청소기,보쉬,GAS18V-1,74970,42.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WBK,668900,60.0,210
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91825,482460,60.0,
차량용청소기,유행코리아,더쎈 차량용 무선 청소기 V2,89000,30.0,65
핸디스틱청소기,DIBEA,M500 클래스,169000,50.0,200
핸디청소기,블랙앤데커,BHHV520BF00,87890,25.0,35
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 AU9202WD,745610,60.0,210
핸디스틱청소기,LG전자,코드제로 A9S AT9370BA,736900,60.0,200
핸디스틱청소기,테팔,엑스포스 8.60 라이트 TY9634KO,227190,45.0,
욕실청소기,한샘,트리플 플러스 2.0 QNBC-6000W,69800,240.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AS9272WD,695110,60.0,220
차량용청소기,평화자동차,시크릿 이지건 핸디 무선 진공 청소기,30370,,80
핸디스틱청소기,테팔,엑스퍼트 3.60 TY6921,139410,45.0,
핸디스틱청소기,테팔,에어포스360 라이트 이지 TY5520,245100,33.0,
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3515ST,217500,35.0,
핸디청소기,일렉트로룩스,라피도 리튬 ZB6214IGM,102000,24.0,
핸디스틱청소기,캐치웰,CV6 플러스,79000,40.0,120
차량용청소기,머레이,핸디형 무선청소기 HK-6030,30400,20.0,20
차량용청소기,캐치웰,차량용 핸디 텀블러 청소기 THC1000,39900,,80
핸디청소기,신일전자,LCYC913,30510,20.0,35
물걸레청소기,휴스톰,듀얼스핀 HS-10500,161580,30.0,
핸디스틱청소기,마끼다,DCL180Z,48070,20.0,30
핸디스틱청소기,행커,400W,170100,60.0,390
차량용청소기,샤오미,CLEANFLY 차량용 무선 청소기 3세대 (해외구매),120300,25.0,168
핸디스틱청소기,삼성전자,에어본 VC-H71,93980,12.0,
차량용청소기,에이치앤오,핸디 청소기 PRO,43210,,52
물걸레청소기,에어메이드,글라이드S AMC-2500,298000,40.0,
핸디스틱청소기,LG전자,코드제로 A9S AS9270IA,595660,60.0,200
차량용청소기,키친아트,렉스 차량용 진공청소기 PK901,27500,,50
차량용청소기,신일,무선 청소기 SVC-M2299,37690,15.0,
핸디청소기,유니맥스,UVC-1688,19200,,
차량용청소기,차량용,MAX 무선 청소기 X111-DK,46890,20.0,50
핸디스틱청소기,발뮤다,더 클리너 C01B,409380,30.0,
핸디스틱청소기,삼성전자,제트 VS15A6031N5,299990,40.0,150
핸디스틱청소기,신일전자,SVC-599WS,78970,10.0,
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIBF,258990,50.0,
침구청소기,레이캅,펫+ RS4-100KRWH,169000,28.0,150
핸디스틱청소기,쿠쿠전자,파워클론 CVC-AE1410,421030,35.0,
차량용청소기,팅크웨어,아이나비 올인원 무선 에어건 청소기 EPI-GV3000,94290,,120
핸디청소기,리락쿠마,미니미니 청소기,5620,,
핸디청소기,신일전자,SVC-S500YT,46260,9.0,60
핸디스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1420UG,232310,35.0,230
차량용청소기,청연MnS,naVee 하이브리드 무선 에어건 차량용 청소기 NV94-ADT2,93900,40.0,100
차량용청소기,위드앤올,2in1 휴대용 무선 에어건 핸디 청소기 WNA-AG8,79000,40.0,80
차량용청소기,이지,100 차량용 무선 청소기 ECONER-T2,29640,,45
핸디청소기,블랙앤데커,PV1820C,86120,12.0,
핸디청소기,블랙앤데커,DVC320B01,89900,24.0,30
핸디스틱청소기,DIBEA,올인원 UV,169000,50.0,250
물걸레청소기,대우어플라이언스,아쿠아젯 DEX-WC130,78790,60.0,
핸디스틱청소기,보랄,더 데일리 HNZ-X5000RV,454090,38.0,100
핸디청소기,캐치웰,THC-1000,39900,28.0,80
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-2OG,294590,50.0,
욕실청소기,청연엠엔에스,NV92-ECL77,12900,,
핸디스틱청소기,샤오미,SHUNZAO Z11 MAX,179050,60.0,260
차량용청소기,베이스어스,차량용 무선 진공 청소기 A2 (해외구매),24470,18.0,50
물걸레청소기,휴스톰,듀얼스핀 HS-10000,158990,30.0,
핸디스틱청소기,삼성전자,비스포크 제트 AI VS28C973DR,1499990,80.0,280
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9402WD,953950,60.0,220
물걸레청소기,로엘,듀스핀,62790,240.0,
차량용청소기,링크큐,오토팟 무선 핸디 청소기,31330,20.0,60
핸디스틱청소기,샤오미,드리미 V9,134850,60.0,200
핸디스틱청소기,리하스,S3,217600,42.0,300
핸디스틱청소기,블랙앤데커,BSV2020PS,214320,60.0,40
핸디스틱청소기,한빛시스템,HV-5099,74240,,
차량용청소기,헤몬,차량용 무선 청소기,33790,25.0,66
차량용청소기,신일,무선 차량용 핸디형 미니 청소기 SVC-W21NK,35900,15.0,
차량용청소기,샤오미,LYDSTO 핸디형 에어펌프 진공청소기,52900,,
핸디청소기,듀플렉스,DP-480VC,25730,,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9672WD,898990,60.0,220
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956E3,616250,60.0,210
물걸레청소기,로보락,다이애드,499000,,
핸디스틱청소기,델로라,V11 파워 300W,81890,70.0,220
핸디스틱청소기,한빛시스템,HV-5088,75270,,
물걸레청소기,휴스톰,듀얼스핀 HS-10100W,163380,,
핸디스틱청소기,아이룸,AST-009 플러스,109000,40.0,120
차량용청소기,코칸,차량용 무선 진공 핸디 청소기 CHC-UY01,38600,,58
차량용청소기,보만,충전식 무선 청소기 HV1115B,39000,,55
핸디스틱청소기,테팔,엑스퍼트 6.60 TY6831,164250,45.0,
차량용청소기,인트비즈,MORUN 차량용 무선 미니 청소기 V5,88900,12.0,150
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000,198000,40.0,260
핸디스틱청소기,샤크,에보 파워 플러스 WV250KR2,177100,12.0,
핸디스틱청소기,테팔,에어포스 라이트 TY6545KL,125120,30.0,
핸디스틱청소기,LG전자,코드제로 A9 A9100S,636500,40.0,140
핸디스틱청소기,무궁화전자,바로바로 MC-B250,40790,20.0,60
핸디스틱청소기,캐치웰,CX PRO,319000,60.0,
차량용청소기,오아,클린보틀 차량용 청소기 OA-CL002,57800,20.0,65
핸디스틱청소기,샤오미,COCLEAN V30,129912,60.0,250
핸디스틱청소기,다이슨,V8 플러피,649350,40.0,155
핸디스틱청소기,쿠쿠전자,CVC-B1020UG,159930,33.0,
핸디스틱청소기,샤오미,드리미 T30,399000,,270
핸디스틱청소기,쿠쿠전자,파워클론 CVC-B1010UG,248310,33.0,
차량용청소기,위드피플즈,가제트 차량용 청소기 GVC3000,58850,,120
물걸레청소기,웨이코스,씽크웨이 ThinkAir 세상깨끗한 TA-MV9,130950,60.0,
핸디스틱청소기,샤오미,로이드미 X30 프로,278060,70.0,265
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3424BL,235030,48.0,
차량용청소기,샤오미,SHUNZAO 차량용 무선청소기 2세대 Z1 (해외구매),30290,30.0,70
핸디스틱청소기,삼성전자,비스포크 제트 AI VS25C972DR,1439910,80.0,250
핸디스틱청소기,샤오미,G10,241930,65.0,250
업소용청소기,미닛츠,YS-MI2021VC,198130,,1200
차량용청소기,쿠팡,홈플래닛 미니 핸디 무선청소기 CP-HVC02,24990,15.0,50
핸디스틱청소기,마끼다,DCL181,67350,40.0,53
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIB,232390,50.0,
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2BSWF,338000,50.0,
차량용청소기,알토디자인,에코너 T-1 핸디형 무선 차량용 청소기,46800,,60
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WB,699470,60.0,210
핸디청소기,블랙앤데커,BHHV520BFP07,101150,25.0,35
차량용청소기,아이코넬,차량용 청소기 ICL-V01,28990,30.0,50
욕실청소기,파빗,2세대 전동청소솔 PRO FB-B270PRO,43380,80.0,
물걸레청소기,경성오토비스,KAC-8000,145040,80.0,
핸디청소기,블랙앤데커,PV1820BK,89750,12.0,35
욕실청소기,샤오미,유핀 M2,34370,80.0,
핸디청소기,신일전자,SVC-D900RK,47780,15.0,
물걸레청소기,휴스톰,듀얼스핀 플러스 HS-11000,194650,30.0,
핸디스틱청소기,삼성전자,비스포크 제트 AI VS25C970DW,1230620,60.0,250
핸디스틱청소기,마끼다,DCL182ZW,57010,40.0,54
핸디스틱청소기,쎈스톰,에어쎈 EVC-A010ARD,115640,35.0,
핸디스틱청소기,테팔,엑스포스 8.60 라이트 TY9635KO,235900,45.0,
차량용청소기,루베크,핸디형 무선 청소기 RU-386,27900,8.0,
스틱청소기,삼성전자,비스포크 슬림 VS15A680AEG,311750,50.0,150
핸디청소기,신일전자,SVC-499WS,56400,,
물걸레청소기,포유디지탈,iMUZ 아쿠아 클링 F1,329370,35.0,
차량용청소기,한경희이지라이프,차량용 핸디 청소기 D32,52000,,
핸디청소기,쿠팡,홈플래닛 WL05,32990,,60
핸디청소기,무궁화전자,바로바로 MC-B601,23160,10.0,15
핸디청소기,보쉬,GAS10.8V-LI,45280,7.0,
핸디스틱청소기,신일전자,SVC-PB195BUP,93930,35.0,
차량용청소기,알로코리아,차량용 무선 청소기 AVC1,45800,25.0,45
차량용청소기,베이스어스,차량용 청소기 A3,101300,45.0,150
물걸레청소기,휴스톰,듀얼스핀 HS-10000W,168990,30.0,
핸디스틱청소기,퍼피유,T12 Pro Rinse,429140,70.0,260
물걸레청소기,휴스톰,듀얼액션 글라이드 HG-2000,253800,30.0,
핸디스틱청소기,삼성전자,제트 VS20T92P8SD,521770,60.0,200
핸디스틱청소기,다이슨,디지털 슬림 플러피+,852210,40.0,100
핸디스틱청소기,일렉트로룩스,Well Q8 WQ81-3OMBF,298880,53.0,
욕실청소기,보아르,워시스핀C VCL-031WH,24890,,
핸디스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3BWF,366820,53.0,
핸디스틱청소기,샤오미,TROUVER POWER 12,168370,60.0,220
핸디스틱청소기,삼성전자,제트 VS15R8500BF,392700,40.0,150
차량용청소기,블랙홀릭,블랙팟 싹흡입하카 미니청소기 BHG014,50420,25.0,50
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957G5,855590,60.0,220
업소용청소기,롯데알미늄,LC-1500,179000,40.0,160
핸디청소기,블랙앤데커,HLVC320B,62800,13.0,30
핸디스틱청소기,LG전자,코드제로 A9S AT9571IB,1002430,60.0,210
차량용청소기,불스원,파워슬림 BLDC 차량 청소기 BVB424,112450,12.0,160
핸디스틱청소기,캐치웰,C10,161670,30.0,
차량용청소기,뉴메이슨,듀얼 차량용 청소기 JB-P02,65970,20.0,
핸디스틱청소기,삼성전자,제트 VS20T9278S3,429890,60.0,200
차량용청소기,로리스토어,알파플랜 차량용 무선 에어건 청소기 ACV01,39500,35.0,80
핸디스틱청소기,비브르,스톰파워 VE30,172950,40.0,250
차량용청소기,싹쓰리,핸디형 무선 청소기 YD-695,31900,,90
차량용청소기,훠링,미니 무선 청소기,50600,16.0,55
욕실청소기,마이리빙,이지러빙 SNAPP-BC-01,74900,100.0,
핸디스틱청소기,테팔,에어포스360라이트 아쿠아 TY5586,442860,28.0,
핸디청소기,신일전자,SVC-SHS500,41010,9.0,60
차량용청소기,오아,클린벨 핸디 미니 차량용 청소기,47800,20.0,55
침구청소기,엔퓨텍,퓨라이트XD,198000,90.0,
차량용청소기,카렉스,파워스톰 스마트 무선 청소기 6WC0900037,75370,,130
핸디청소기,무궁화전자,바로바로 MC-B100,25090,,15
핸디스틱청소기,보랄,X10 BR-H490RV,88290,25.0,130
핸디스틱청소기,마끼다,DCL281FZW,135270,20.0,82
핸디청소기,ANKER,Eufy H30,94000,20.0,160
핸디스틱청소기,일렉트로룩스,ZB3301,159000,42.0,
핸디청소기,블랙앤데커,TPD1420,76010,11.0,20
차량용청소기,벨퍼포먼스,무선 핸디 미니 차량용 청소기 D2,46270,15.0,50
핸디스틱청소기,테팔,에어포스 라이트 TY6541KM,128000,30.0,
핸디스틱청소기,삼성전자,비스포크 제트 AI VS28C973GSK,1579990,80.0,280
핸디스틱청소기,신일전자,SVC-PB220WU,91170,35.0,
핸디청소기,홈마블,H83,45650,28.0,80
핸디스틱청소기,블랙앤데커,TPD1810BGEXT,114000,13.0,
욕실청소기,워터루핀,WT-N2020,120000,120.0,
물걸레청소기,휴스톰,무선 심플스핀 HS-1000,75640,60.0,
핸디스틱청소기,다이슨,V11 220AW 컴플리트,1054750,60.0,220
차량용청소기,핸디형,무선 청소기 SS-2000,27140,,30
핸디스틱청소기,삼성전자,에어본 VC-PS86,122380,15.0,
차량용청소기,피앤지,와이드 스톰 차량용 청소기 PG-VC02,34790,,80
핸디스틱청소기,아이룸,제우스 i30,179000,40.0,300
핸디스틱청소기,예다움,제네스 H83BL,54050,45.0,115
물걸레청소기,샤오미,QUANGE QJ050101,68530,,
핸디스틱청소기,블랙앤데커,파워 익스트림 TBSV2020,153930,60.0,40
핸디스틱청소기,다이슨,옴니 글라이드 컴플리트+,538490,20.0,50
핸디청소기,홈마블,H80,49800,30.0,60
핸디스틱청소기,아이룸,RS1,137990,40.0,250
물걸레청소기+스팀청소기,비쎌(BISSELL),크로스웨이브 3.0 맥스 2765S,707130,30.0,
업소용청소기,웍스,WG630E,147780,24.0,
핸디스틱청소기,코슬리,스위트 KV-17IV,89000,,170
핸디스틱청소기,일렉트로룩스,에르고라피도 클래식 ZB3501EB,182350,30.0,
물걸레청소기,에어메이드,글라이드 AMC-2150,216200,30.0,
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3414AK,184990,48.0,
핸디스틱청소기,오아,OA-CL010,74900,25.0,130
핸디스틱청소기,LG전자,코드제로 A9 A9100N,567970,50.0,140
물걸레청소기,샤오미,미지아 WXCDJ01SWDK,78883,60.0,
차량용청소기,아이코넬,차량용 청소기 ICL-V01 + 가정용 어댑터,32760,30.0,50
물걸레청소기,경성오토비스,KAC-7000,127090,80.0,
핸디스틱청소기,베이스어스,H5,81490,30.0,160
핸디스틱청소기,캐치웰,미니제트,89100,20.0,150
업소용청소기,이고진,무동력 청소기,190590,,
핸디스틱청소기,신일전자,SVC-R60BCK,49760,20.0,60
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956A3P,506540,60.0,210
핸디스틱청소기,샤오미,지미 JV85 프로,138220,70.0,250
물걸레청소기,JONR,XQ02E,219100,35.0,
핸디청소기,신일전자,SVC-D950GK,47930,16.0,
핸디청소기,앱코,오엘라 HV01,49000,,120
핸디스틱청소기,테팔,엑스퍼트 3.60 TY6974,186470,45.0,
핸디스틱청소기,샤오미,드리미 T10,199000,60.0,200
핸디스틱청소기,샤오미,유핀 CL99,34270,50.0,
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000 (2022년형),199000,40.0,350
핸디스틱청소기,샤오미,미지아 B201CN,129630,40.0,
핸디스틱청소기,모모픽,MAX300,178000,40.0,300
핸디청소기,일렉트로룩스,ZB6218STM,137700,30.0,
차량용청소기,에어그립,차량용 무선진공청소기 라이트 KA-377,28960,,55
스틱청소기,삼성전자,비스포크 슬림 VS15A680AF,315380,50.0,150
