Pass/Fail,Sensor_23,Sensor_40,Sensor_59,Sensor_81,Sensor_116,Sensor_247,Sensor_294,Sensor_471,Sensor_510,Sensor_562
-1,-4043.75,63.93999999999998,-1.7264,-0.056650000000000006,0.9908,0.053373591549295774,418.1363,9.7752,64.6707,262.72968315301387
-1,-3498.75,78.25,0.8073,-0.0377,0.9902,0.053373591549295774,233.9865,10.2211,118.77044999999998,262.72968315301387
-1,-4515.0,76.9,15.59685,0.0028,0.9906,0.0191,415.5048,9.1494,113.5593,268.228
-1,-3987.5,76.39,-12.2945,-0.0123,0.9908,0.053373591549295774,319.1252,7.4365,118.77044999999998,262.72968315301387
-1,-3906.5,63.93999999999998,15.59685,-0.0111,0.9907,0.0217,912.5788,9.0384,68.7351,257.1109999999999
-1,-3914.75,74.46,2.1109,-0.0281,0.9905,0.053373591549295774,912.5788,10.4319,118.77044999999998,262.72968315301387
-1,-3819.75,78.09,15.59685,0.0004,0.9902,0.0643,106.4973,9.6785,79.1209,265.09
-1,-2948.0,63.93999999999998,15.59685,-0.0251,0.9906,0.0306,912.5788,9.0916,118.77044999999998,265.184
-1,-3911.5,78.09,15.59685,-0.0375,0.9905,0.0368,354.07199999999995,13.4911,86.0068,265.206
-1,-3982.25,76.9,15.59685,-0.0119,0.9908,0.0317,444.4295,7.7847,94.8247,262.72968315301387
-1,-3883.5,78.11,-1.1927,-0.056650000000000006,0.9908,0.053373591549295774,912.5788,9.5918,55.0265,258.406
-1,-2053.0,74.57,15.59685,-0.0144,0.9867000000000001,0.0706,912.5788,6.1370000000000005,118.77044999999998,262.72968315301387
-1,-3654.5,73.95,-8.1182,-0.0394,0.9905,0.053373591549295774,301.6514,7.5067,68.5315,263.276
-1,-3617.5,74.04,-5.5327,-0.0291,0.9911,0.053373591549295774,733.2587,6.2616,89.7338,263.682
-1,-4149.25,63.93999999999998,0.4836,-0.0344,0.9904,0.053373591549295774,441.7317,7.2194,102.9126,263.066
-1,-4006.5,76.9,15.59685,-0.0111,0.9904,0.0283,432.2865,7.952000000000001,118.77044999999998,262.72968315301387
-1,-5585.0,63.93999999999998,3.97,-0.0458,0.9904,0.053373591549295774,103.8813,6.2285,87.8049,266.526
-1,-3876.75,63.93999999999998,0.12,-0.0309,0.9906,0.053373591549295774,430.2875,5.985,64.3929,263.02
-1,-3641.5,63.93999999999998,-3.6564,-0.039,0.9903,0.053373591549295774,286.4628,5.0569,42.9066,265.688
-1,-1949.5,63.93999999999998,15.3536,-0.0101,0.9906,0.0225,912.5788,10.3624,60.3279,262.72968315301387
-1,-1975.75,76.33,2.9964,-0.0219,0.9906,0.053373591549295774,912.5788,4.8438,65.8494,259.54400000000004
-1,-4712.25,78.25,-6.9155,-0.0387,0.9907,0.053373591549295774,243.4904,7.1962,48.0962,259.91
-1,-4466.5,76.69,15.59685,-0.0076,0.9906,0.0332,190.1736,6.4521,69.6774,265.49
-1,-4005.0,76.67,13.1136,0.0061,0.9904,0.0597,305.296,7.2863,60.6581,261.806
-1,-3793.25,63.93999999999998,14.7073,-0.0399,0.9867000000000001,0.0635,117.6124,11.4559,51.8436,260.644
-1,-3717.0,65.83,15.59685,-0.0203,0.9909,0.0292,243.9242,6.7643,49.1677,262.72968315301387
-1,-4835.25,63.93999999999998,13.1482,-0.0106,0.9867000000000001,0.11042077464788733,131.5862,11.5871,59.4595,261.972
-1,-1363.875,73.95,-3.3864,-0.0199,0.991,0.053373591549295774,274.026,5.2224,67.6218,259.79200000000003
-1,-1993.75,67.9049092676604,4.4036,-0.0403,0.9908,0.053373591549295774,912.5788,5.0256,37.9822,260.822
-1,-3892.75,76.69,15.59685,-0.01,0.9867000000000001,0.0974,912.5788,8.63,78.7062,260.862
-1,-3683.0,76.73,-10.1245,-0.0446,0.9907,0.053373591549295774,242.4967,7.8205,95.0,266.01
-1,-1363.875,63.93999999999998,13.9782,-0.0336,0.9867000000000001,0.0231,912.5788,7.4159,75.513,262.72968315301387
-1,-3352.75,63.93999999999998,13.4891,-0.0384,0.9908,0.0306,253.4106,11.3992,57.2246,267.024
-1,-5267.0,65.83,15.59685,-0.056650000000000006,0.9908,0.0268,77.9081,5.9709,40.7507,262.72968315301387
-1,-3861.0,77.41,-2.6636,0.001,0.9908,0.053373591549295774,36.8273,7.3418,21.9709,259.598
-1,-6375.125,72.29,-2.4636,-0.0095,0.9907,0.053373591549295774,912.5788,7.9705,70.5167,259.196
-1,-5006.25,79.48,15.59685,-0.0012,0.9906,0.0346,297.0492,5.87,42.1053,262.72968315301387
-1,-3016.0,74.54,8.3045,-0.0091,0.9907,0.0375,912.5788,7.8156,76.8946,262.72968315301387
-1,-2015.25,63.93999999999998,12.0945,-0.0261,0.9907,0.11042077464788733,912.5788,7.7587,41.0619,262.72968315301387
-1,-2924.75,74.57,15.59685,-0.0139999999999999,0.9907,0.0221,912.5788,4.7941,42.7002,262.72968315301387
-1,-1948.75,63.93999999999998,15.59685,-0.0137,0.9906,0.0354,912.5788,7.164,90.4847,264.014
-1,-3583.25,79.48,1.5882,-0.0208,0.9905,0.11042077464788733,362.8135,12.9409,67.8869,262.72968315301387
-1,-3817.0,67.9049092676604,0.6782,-0.0184,0.9909,0.053373591549295774,206.3121,7.7033,50.0803,261.714
-1,-3237.5,74.8,15.59685,-0.0084,0.9904,0.11042077464788733,912.5788,8.2032,118.77044999999998,264.596
-1,-4881.75,74.8,15.59685,0.001,0.991,0.0583,246.9458,7.1568,33.1903,262.72968315301387
-1,-4369.5,79.42,15.59685,-0.0109,0.9908,0.0503,314.963,4.2375,111.9454,264.04200000000003
-1,-4189.75,78.25,-1.6545,-0.0449,0.991,0.053373591549295774,355.3237,7.7944,80.0,259.064
-1,-2636.0,79.48,6.7391,-0.0112,0.9908,0.0385,240.8213,12.9861,102.6316,263.86
-1,-1942.75,63.93999999999998,13.8118,-0.0142,0.9904,0.11042077464788733,912.5788,4.5435,118.77044999999998,264.056
-1,-3612.75,74.19,15.59685,-0.0209,0.9867000000000001,0.0165,583.7548,7.7593,87.7193,264.106
-1,-4495.75,78.13,15.59685,-0.0317,0.9867000000000001,0.0221,428.5545,6.2039,54.5809,263.976
-1,-3960.75,76.99,15.59685,-0.0229,0.9906,0.0275,74.5537,5.4215,89.9297,264.034
-1,-1363.875,73.32,15.59685,-0.012,0.9867000000000001,0.0457,247.8266,6.2822,53.6913,262.2
-1,-4444.25,63.93999999999998,11.6818,-0.0243,0.9904,0.0251,234.3174,4.9918,68.8172,265.002
-1,-4388.25,79.42,15.59685,0.0025,0.9903,0.0947,349.41900000000004,5.24,102.3256,263.79400000000004
-1,-5129.3333,65.55,15.59685,-0.0556,0.9867000000000001,0.0489,312.2738,6.3911,54.5781,264.368
-1,-4707.0,79.42,15.59685,-0.0193,0.9867000000000001,0.0439,132.9097,6.1553,111.4754,266.228
-1,-2030.25,63.93999999999998,15.59685,-0.0233,0.9867000000000001,0.0545,912.5788,7.2089,118.77044999999998,262.72968315301387
-1,-3603.0,76.67,15.59685,-0.0206,0.9905,0.0398,134.8292,10.1134,51.4469,266.692
-1,-4400.5,63.93999999999998,15.59685,-0.0129,0.9909,0.11042077464788733,295.1305,5.0228,76.0181,261.73
-1,-4424.3333,63.93999999999998,15.59685,-0.0303,0.9905,0.11042077464788733,159.8653,8.7825,65.3386,263.256
-1,-6147.0,63.93999999999998,15.59685,-0.0305,0.9867000000000001,0.11042077464788733,218.4651,6.3593,90.0,262.666
-1,-2543.0,74.8,12.0627,-0.009,0.9867000000000001,0.0445,204.1258,5.7722,79.292,262.988
-1,-3931.25,74.54,9.5227,-0.0139,0.9908,0.11042077464788733,912.5788,5.6422,54.8463,263.494
-1,-3780.5,78.13,15.59685,-0.0161,0.9867000000000001,0.0958,261.0038,8.5027,98.3607,262.72968315301387
-1,-3513.5,74.8,9.3336,-0.0439,0.9867000000000001,0.11042077464788733,143.9873,7.3866,39.2906,264.188
-1,-3731.5,79.48,12.5391,0.002,0.9904,0.0607,185.1709,4.0934,56.6372,265.394
-1,-4019.25,63.93999999999998,15.59685,-0.0551,0.9867000000000001,0.0649,216.6631,3.1065,68.2464,264.492
-1,-3000.75,74.8,8.6927,-0.0034,0.9867000000000001,0.0442,912.5788,6.3465,85.5346,262.72968315301387
-1,-3947.5,76.69,-5.3055,-0.0415,0.9907,0.053373591549295774,237.9447,9.9812,46.62,262.72968315301387
-1,-3797.5,78.27,-8.7491,-0.0471,0.991,0.053373591549295774,310.3464,7.1093,30.4762,261.624
