Pass/Fail,Sensor_0,Sensor_2,Sensor_4,Sensor_12,Sensor_23,Sensor_25,Sensor_26,Sensor_33,Sensor_38,Sensor_40,Sensor_41,Sensor_59,Sensor_63,Sensor_64,Sensor_65,Sensor_71,Sensor_78,Sensor_79,Sensor_81,Sensor_89,Sensor_99,Sensor_112,Sensor_116,Sensor_117,Sensor_120,Sensor_121,Sensor_138,Sensor_153,Sensor_156,Sensor_159,Sensor_162,Sensor_170,Sensor_171,Sensor_184,Sensor_210,Sensor_211,Sensor_212,Sensor_217,Sensor_222,Sensor_227,Sensor_228,Sensor_247,Sensor_267,Sensor_270,Sensor_291,Sensor_294,Sensor_295,Sensor_297,Sensor_301,Sensor_306,Sensor_320,Sensor_337,Sensor_339,Sensor_344,Sensor_348,Sensor_349,Sensor_350,Sensor_352,Sensor_355,Sensor_356,Sensor_359,Sensor_360,Sensor_385,Sensor_411,Sensor_412,Sensor_423,Sensor_426,Sensor_429,Sensor_433,Sensor_435,Sensor_441,Sensor_460,Sensor_471,Sensor_475,Sensor_476,Sensor_491,Sensor_494,Sensor_495,Sensor_496,Sensor_510,Sensor_539,Sensor_551,Sensor_553,Sensor_554,Sensor_557,Sensor_560,Sensor_561,Sensor_562,Sensor_565,Sensor_567,Sensor_569,Sensor_571,Sensor_572,Sensor_574,Sensor_575,Sensor_576,Sensor_583,Sensor_585,Sensor_589
-1,3030.93,2187.7333,1.3602,202.4396,-4043.75,0.8955,1.773,9.5126,86.9555,63.93999999999998,4.515,-1.7264,16.1445,21.7264,29.5367,84.0793,-0.0307,-0.0083,-0.056650000000000006,0.1841,-0.0251,0.457537676056338,0.9908,58.4306,6.3788,15.88,46.2,0.0167,0.0506,1017.0,368.0,0.725,0.1139,0.0803,0.0772,0.0599,0.07,0.1135,0.013699999999999999,0.0369,0.03420000000000001,0.053373591549295774,0.0472,30.9815,0.0167,418.1363,398.3185,158.333,0.6083,0.0434,0.0254,1.5989,5.3406,31.8843,0.0215,0.0274,0.0315,0.0206,0.0491,1.2708,0.0229,0.0046,0.011426995305164318,2.1118,24.8504,53.684,1.7275,3.6084,49.0013,2.7073,0.8693,29.9394,9.7752,2.3394,31.9893,0.7578,1.3944999999999999,10.0261,17.1202,64.6707,2.057,0.78,5.7349,0.3363,1.0297,0.1039,42.3877,262.72968315301387,0.1456095054095827,0.06008639876352396,21.11767403400309,2.1113,8.95,3.0624,0.1026,1.6765,0.0118,2.363,99.67006634738186
-1,3095.78,2230.4222,0.8294,200.547,-3498.75,1.2973,2.0143,9.7997,87.5241,78.25,2.773,0.8073,10.9036,19.1927,27.6301,82.3494,-0.044,-0.0358,-0.0377,0.1874,-0.0158,0.457537676056338,0.9902,58.668,6.5061,15.88,56.2,0.0144,0.0437,568.0,3277.0,1.0498,0.1917,0.0892,0.0566,0.0488,0.12045,0.0747,0.0014,0.0203,0.0236,0.053373591549295774,0.0411,29.0598,0.0139,233.9865,26.5879,1529.7622,0.8151,0.0715,0.0264,1.1506,5.0108,41.708,0.0142,0.023,0.055099999999999996,0.0143,0.0365,1.2474,0.0248,0.0005,0.011426995305164318,2.5197,15.015,61.8918,1.4857,3.1595,199.7866,5.7093,1.2364,40.4475,10.2211,2.1627,30.8643,3.6822,0.1441,6.6487,12.6788,118.77044999999998,1.791,1.33,7.1196,0.4989,1.7819,0.0375,18.1087,262.72968315301387,0.1456095054095827,0.06008639876352396,21.11767403400309,2.4335,5.92,2.0111,0.0772,1.1065,0.0223,4.4447,208.2045
-1,2988.72,2199.0333,1.3204,201.8482,-4515.0,1.3137,2.0038,8.6789,86.6867,76.9,1.279,15.59685,13.5597,15.6209,23.4736,70.2289,0.04,0.057850000000000006,0.0028,0.1958,-0.0195,0.4647,0.9906,58.6635,6.4935,15.55,47.8,0.015,0.0699,859.0,3004.0,0.9386,0.0356,0.1786,0.1248,0.0463,0.12045,0.0932,0.0015,0.0152,0.0149,0.0191,0.0513,33.896,0.0245,415.5048,157.0889,1377.4276,0.6305,0.0128,0.0479,1.7317,6.6839,29.0339,0.0407,0.0198,0.0531,0.0224,0.0484,1.8222,0.0252,0.0004,0.0038,2.1737,17.8537,94.4594,1.5441,4.9898,181.2641,5.3899,1.1054,27.6824,9.1494,3.4234,35.4323,1.767,0.1488,8.6804,29.2542,113.5593,2.1565,2.17,11.4316,0.8497,2.9958,0.1946,62.7572,268.228,0.163,0.067,25.0363,2.0253,9.33,2.8971,0.0525,1.7585,0.0103,2.0544,73.8432
-1,3032.24,2233.3667,1.5334,201.9424,-3987.5,1.2887,1.9912,8.7677,86.1468,76.39,2.209,-12.2945,21.9782,32.2945,42.95585,65.8417,-0.0449,0.0034,-0.0123,0.1829,-0.0167,0.457537676056338,0.9908,58.3858,6.3551,15.75,48.8,0.0126,0.0538,699.0,1443.0,0.5760000000000001,0.0631,0.1189,0.0915,0.0506,0.0769,0.1015,0.0004,0.0227,0.0272,0.053373591549295774,0.0488,34.125,0.0181,319.1252,128.0296,628.3083,1.35,0.031,0.0327,1.6216,10.5352,32.0537,0.0246,0.0221,0.0329,0.0256,0.0463,1.5530000000000002,0.0286,0.0001,0.011426995305164318,2.185,22.3369,85.2255,1.2943,3.8754,0.0,2.0088,0.6672,30.8924,7.4365,4.5375,42.6838,2.2358,0.0372,3.7821,62.8936,118.77044999999998,2.0579,1.98,9.7608,0.8311,2.5014,0.0461,22.05,262.72968315301387,0.1456095054095827,0.06008639876352396,21.11767403400309,2.0275,8.83,3.1776,0.0706,1.6597,0.026000000000000006,5.21645,73.8432
-1,2946.25,2233.3667,1.5334,200.472,-3906.5,0.893,1.7775,9.6484,87.0273,63.93999999999998,3.024,15.59685,7.617999999999999,11.7045,18.3685,70.3707,-0.0074,-0.0026,-0.0111,0.2099,-0.0419,0.4651,0.9907,58.656000000000006,6.3186,15.88,48.8,0.0106,0.0511,2060.5,1157.0,0.6308,0.26130000000000003,0.1552,0.0645,0.0391,0.0849,0.0575,0.0028,0.0362,0.019,0.0217,0.0411,32.0878,0.0176,912.5788,384.6101,478.1502,0.632,0.0985,0.0453,1.9589,9.6731,33.4938,0.0166,0.0181,0.0409999999999999,0.0148,0.0259,0.969,0.0227,0.0012,0.0058,2.185,22.3369,61.9853,1.0841,3.6904,597.1613,2.0253,0.7384,42.8261,9.0384,4.7779,47.11495000000001,4.941799999999999,0.2873,7.0485,14.7656,68.7351,1.791,1.65,7.2448,0.6268,2.0541,0.0604,30.6277,257.1109999999999,0.1905,0.0743,22.5598,2.3236,8.91,2.2598,0.0899,1.6679,0.0189,3.8276,44.0077
-1,3030.27,2230.4222,0.8294,202.0901,-3914.75,0.9063,1.7715,9.1502,86.374,74.46,3.978,2.1109,12.74,17.8891,26.2754,83.4997,-0.0389,-0.0154,-0.0281,0.2395,0.0577,0.457537676056338,0.9905,58.823,6.5398,15.83,56.2,0.0189,0.086,2060.5,565.0,0.5811,0.0356,0.1016,0.0604,0.0672,0.0355,0.0877,0.0032,0.0226,0.0203,0.053373591549295774,0.0333,24.0522,0.0251,912.5788,276.541,254.5432,0.9513,0.0148,0.0349,0.8887,5.5104,36.0395,0.0177,0.0296,0.0162,0.0221,0.0505,0.7223,0.0349,0.0011,0.011426995305164318,2.5197,15.015,91.3669,1.9544,6.1127,97.3718,2.258,0.6667,23.6929,10.4319,2.5947,29.9535,2.6373,0.3268,3.7548,41.0596,118.77044999999998,1.4336,0.87,5.4711,0.371,1.2077,0.0905,51.4535,262.72968315301387,0.1456095054095827,0.06008639876352396,21.11767403400309,2.4229,6.48,2.2019,0.0597,1.1958,0.0143,2.8515,44.0077
-1,3058.88,2248.9,0.7884,202.417,-3819.75,1.328,1.9893,8.7289,86.7493,78.09,2.6710000000000003,15.59685,5.5936,10.8691,15.3094,57.0841,0.0041,0.0002,0.0004,0.2038,-0.0102,0.465,0.9902,59.0421,6.3241,15.78,55.5,0.016,0.0474,233.0,807.0,0.8182,0.098,0.0826,0.0701,0.0529,0.1203,0.0378,0.0005,0.0317,0.0235,0.0643,0.0331,29.3966,0.0183,106.4973,151.6605,366.1448,0.5831,0.0433,0.0247,1.4892,10.2964,22.1485,0.0216,0.0221,0.0533,0.0147,0.0159,2.46,0.0281,0.0002,0.009,2.4679,24.8852,141.6508,1.6483,3.3651,109.498,7.1384,0.9753,8.9488,9.6785,4.902,47.11495000000001,2.5556,0.0527,6.9056,47.8698,79.1209,1.4141,0.76,6.4786,0.3589,1.029,0.0748,43.0771,265.09,0.1334,0.0486,23.6052,2.2008,15.390000000000002,5.3345,0.126,2.8874999999999993,0.0106,2.1261,95.031
-1,2967.68,2248.9,0.7884,202.4544,-2948.0,0.6829999999999999,1.7109999999999996,9.6234,86.9476,63.93999999999998,3.217,15.59685,8.8612,13.0209,19.9475,74.3992,0.0067,-0.0047,-0.0251,0.1564,0.0791,0.4642,0.9906,58.7785,6.3354,15.78,55.5,0.0151,0.0559999999999999,2060.5,948.0,0.5087,0.26130000000000003,0.1811,0.0418,0.0555,0.0324,0.0476,0.013699999999999999,0.0331,0.0227,0.0306,0.0331,29.3966,0.0174,912.5788,562.8794,423.4787,0.7583,0.0985,0.0441,1.5156,9.6503,30.9028,0.0103,0.0248,0.0139999999999999,0.0089,0.021,1.0533,0.0134,0.0046,0.0056,2.4679,24.8852,57.1204,1.5571,3.9248,152.22799999999998,10.417850000000001,0.5955,37.6287,9.0916,4.3952,44.9089,2.5556,1.3944999999999999,5.6187,25.8449,118.77044999999998,1.4141,1.36,8.2095,0.5478,1.8374,0.0391,13.9158,265.184,0.1145,0.0417,18.212,2.217,7.09,2.4902,0.0878,1.3248,0.0172,3.4456,111.6525
-1,3016.11,2248.9,0.7884,202.5999,-3911.5,0.9002,1.778,8.7289,86.7493,78.09,2.6710000000000003,15.59685,6.8983,11.6882,18.1525,65.50399999999999,0.0065,0.0102,-0.0375,0.2012,-0.0288,0.4604,0.9905,58.3664,6.2053,15.78,55.5,0.0179,0.0434,862.0,186.0,0.8182,0.098,0.0987,0.0923,0.0526,0.0828,0.052,0.0065,0.0369,0.03420000000000001,0.0368,0.0331,30.9815,0.0133,354.07199999999995,392.7259,76.6219,0.8031,0.0433,0.0359,1.9743,11.4445,37.0311,0.0317,0.0221,0.0366,0.017,0.0244,1.5076,0.027,0.0019,0.0069999999999999,2.4679,24.8852,108.9894,1.8549,3.0589,21.2876,2.9246,0.9753,22.155,13.4911,5.3092,47.11495000000001,3.2587,0.6709999999999999,8.0873,44.0988,86.0068,1.4141,1.11,6.509,0.4257,1.4788,0.0456,20.9776,265.206,0.0361,0.0148,5.8617,2.2598,3.54,1.0395,0.0485,0.6636,0.0152,3.0687,90.2294
-1,2920.07,2195.1222,1.3204,202.1269,-3982.25,1.3045,2.0107,8.6789,86.6867,76.9,1.279,15.59685,11.0227,17.3773,25.5177,80.1463,-0.0381,0.004,-0.0119,0.1697,-0.0167,0.4615,0.9908,58.72,6.2999,15.83,53.0999,0.0186,0.0209,971.0,3851.0,0.9386,0.0356,0.1584,0.0613,0.0341,0.0375,0.1177,0.0066,0.0369,0.0227,0.0317,0.0333,33.896,0.0075,444.4295,133.5649,1792.1565,0.6797,0.0128,0.0445,1.9911,6.9396,35.1524,0.0156,0.0144,0.0175,0.0273,0.0576,1.1158,0.0279999999999999,0.0021,0.0059,2.419,36.3803,88.9917,1.9245,1.51,199.1982,3.531,1.1054,30.9721,7.7847,3.5775,24.1399,4.0806,0.6807,3.7725,56.6776,94.8247,1.4336,1.61,8.5332,0.5961,1.9735,0.1946,62.7572,262.72968315301387,0.1456095054095827,0.06008639876352396,21.11767403400309,1.969,9.95,2.6544,0.0469,1.8767,0.0153,3.0926,52.2039
